working_day,clear_d,cloudy_d,rainy_d,heavy_d,atem,hum,wind_s,casual,registered
0,0,1,0,0,0.363625,0.805833,0.160446,0.7537338037262279,1.9254707044226393
0,0,1,0,0,0.353739,0.696087,0.248539,1.0452141190889639,1.9152089580907872
1,1,0,0,0,0.189405,0.437273,0.248309,1.0612455364339144,1.5566891956216955
1,1,0,0,0,0.212122,0.590435,0.160296,1.0787343553556785,1.4123833878300218
1,1,0,0,0,0.22927,0.436957,0.1869,1.1166267963528342,1.3713364025026125
1,1,0,0,0,0.233209,0.518261,0.0895652,1.107882386891952,1.3713364025026125
1,0,1,0,0,0.208839,0.498696,0.168726,1.0204382922831314,1.4713884292381727
0,0,1,0,0,0.162254,0.535833,0.266804,1.1370304184282258,1.7734685868820765
0,1,0,0,0,0.116175,0.434167,0.36195,1.1574340405036172,1.8523557618081914
1,1,0,0,0,0.150888,0.482917,0.223267,1.1763802610021952,1.523979879188916
1,0,1,0,0,0.191464,0.686364,0.122132,1.1734654578485677,1.5624614279333624
1,1,0,0,0,0.160473,0.599545,0.304627,1.199698686231214,1.6156942370298466
1,1,0,0,0,0.150883,0.470417,0.301,1.180752465732636,1.4675402743637282
1,1,0,0,0,0.188413,0.537826,0.126548,1.1574340405036172,1.4681816335094688
0,0,1,0,0,0.248112,0.49875,0.157963,0.912590575598919,1.686885102207072
0,1,0,0,0,0.234217,0.48375,0.188433,0.8703259298713223,1.7337043198461486
0,0,1,0,0,0.176771,0.5375,0.194017,1.0656177411643555,1.7785994600480026
1,0,1,0,0,0.232333,0.861667,0.146775,1.2230171114602328,1.912643521507824
1,0,1,0,0,0.298422,0.741739,0.208317,1.122456402660089,1.3367030086326106
1,0,1,0,0,0.25505,0.538333,0.195904,1.1151693947760206,1.1622533209911206
1,1,0,0,0,0.157833,0.457083,0.353242,1.12682860739053,1.403404359789651
0,1,0,0,0,0.0790696,0.4,0.17197,1.1005953790078837,1.7753926643192988
0,1,0,0,0,0.0988391,0.436522,0.2466,1.017523489129504,1.808743339897819
